编号ID 	名称	类型	经验	铜钱最小	铜钱最大	荣誉	VIP经验	官员值	影子	体力	元宝	种类最小	种类最大	物品	
id	name	type	exp	minsilver	maxsilver	rongyu	vipexp	repute	shadow	tili	yb	min	max	prop	
number	string	number	number	number	number	number	number	number	number	number	number	number	number	string	
1001	泰山1	1	100	70	100	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1002	泰山2	1	100	70	100	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1003	泰山3	1	100	70	100	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1004	泰山4	1	100	72	104	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1005	泰山5	1	100	72	104	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1006	泰山6	1	100	72	104	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1007	泰山7	1	100	75	108	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1008	泰山8	1	100	75	108	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1009	泰山9	1	100	75	108	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1010	泰山10	1	100	78	112	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1011	东阿1	1	100	78	112	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1012	东阿2	1	100	78	112	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1013	东阿3	1	100	81	116	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1014	东阿4	1	100	81	116	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1015	东阿5	1	100	81	116	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1016	东阿6	1	100	84	120	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1017	东阿7	1	100	84	120	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1018	东阿8	1	100	84	120	0	0	0	0	0	0	1	2	"(4001,5,1,1)(1001,15,1,2)(5001,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1019	东阿9	1	100	88	126	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1020	东阿10	1	100	88	126	0	0	0	0	0	0	1	2	"(4001,5,1,1)(25001,15,1,2)(1003,15,1,2)(6006,50,1,2)(9001,15,1,2)"	
1021	濮阳1	1	100	88	126	0	0	0	0	0	0	1	2	"(6006,50,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1022	濮阳2	1	110	92	132	0	0	0	0	0	0	1	2	"(6006,50,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1023	濮阳3	1	110	92	132	0	0	0	0	0	0	1	2	"(6006,50,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1024	濮阳4	1	110	92	132	0	0	0	0	0	0	1	2	"(6006,50,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1025	濮阳5	1	140	96	138	0	0	0	0	0	0	1	2	"(6006,50,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1026	濮阳6	1	140	96	138	0	0	0	0	0	0	1	2	"(6006,50,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1027	濮阳7	1	140	96	138	0	0	0	0	0	0	1	2	"(6006,50,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1028	濮阳8	1	140	100	144	0	0	0	0	0	0	1	2	"(6006,50,1,1)(1001,15,1,2)(5001,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
1029	濮阳9	1	144	100	144	0	0	0	0	0	0	1	2	"(6006,50,1,1)(25001,15,1,2)(1003,15,1,2)(6001,50,1,2)(9001,15,1,2)"	
