编号	设计类型	开启	名称	描述	头像	全身像	卡牌形象	序列帧	星级	品质	等级	类别	类型	生命	攻击	攻速	攻距Min	攻距	速度	人口	生命up	攻击up	技能名称	普通攻击	技能攻击	技能攻击2	技能攻击3	技能CD	普通攻击伤害系数	技能1伤害系数	技能2伤害系数	技能3伤害系数	技能图标	技能品质	长度	宽度	是否能转生	升星等级	获取方式	资质	仇恨范围X(单位：格子)	仇恨范围Y(单位：格子)					
number	string	string	string	string	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	string	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	string	number	number	number					
id	type1	open	name	desc	icon	icon2	icon3	csb	star	qua	lv	type2	type3	hp	att	as	adm	ad	ms	peo	hpup	attup	skillname	skill1	skill2	skill3	skill4	skillcd	skill1damage	skill2damage	skill3damage	skill4damage	skillicon	skillqua	l	w	yc	fy	js	intelligent	lookZoneX	lookZoneY					
																																															
10001	10	1	弓兵	初级远程兵种，对单个敌人进行伤害	10001	10001	0	10001	1	1	1	1	3	300	280	50	0	10	300	1	30	28	0	55001	0	0	0	0	100	0	0	0	0	0	1	1	0	0	默认	0	20	5					
10002	10	1	长弓兵	初级远程兵种，对单个敌人进行伤害	10001	10001	0	10001	1	2	1	1	3	320	300	50	0	10	300	1	32	30	0	55002	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	5					
10003	10	1	精英弓兵	初级远程兵种，对单个敌人进行伤害	10001	10001	0	10001	1	3	1	1	3	345	325	55	0	11	300	1	35	33	0	55003	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	5					
10004	10	1	禁卫射手	初级远程兵种，对单个敌人进行伤害	10004	10004	0	10004	1	4	1	1	3	375	355	55	0	11	300	1	38	36	0	55004	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	5					
10005	10	1	神羽后羿	初级远程兵种，对单个敌人进行伤害	10005	10005	0	10005	1	5	1	1	3	410	390	60	0	12	300	1	41	39	0	55005	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	5					
10006	10	1	神羽后羿	初级远程兵种，对单个敌人进行伤害	10005	10005	0	10005	1	6	1	1	3	1560	628	50	0	12	300	1	156	63	0	55006	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10007	10	1	神羽后羿	初级远程兵种，对单个敌人进行伤害	10005	10005	0	10005	1	7	1	1	3	1640	660	50	0	12	300	1	164	66	0	55007	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10008	10	1	神羽后羿	初级远程兵种，对单个敌人进行伤害	10005	10005	0	10005	1	8	1	1	3	1721	692	50	0	12	300	1	172	69	0	55008	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10009	10	1	神羽后羿	初级远程兵种，对单个敌人进行伤害	10005	10005	0	10005	1	9	1	1	3	1802	724	50	0	12	300	1	180	72	0	55009	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10010	10	1	远古神羽	初级远程兵种，对单个敌人进行伤害	0	0	0	0	1	10	1	1	3	1963	789	50	0	12	300	1	196	79	0	55010	0	0	0	0	100	0	0	0	0	0	1	1	0	0	进阶	0	20	5					
10011	12	1	弩兵	中级远程兵种，对单个敌人进行高速连续射击	10011	10011	0	10011	2	1	1	1	3	1200	840	100	0	8	250	5	120	84	0	55011	0	0	0	0	100	0	0	0	0	0	1	1	0	0	默认	0	20	5					
10012	12	1	连弩兵	中级远程兵种，对单个敌人进行高速连续射击	10011	10011	0	10011	2	2	1	1	3	1280	900	100	0	8	250	5	128	90	0	55012	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	5					
10013	12	1	精英弩兵	中级远程兵种，对单个敌人进行高速连续射击	10011	10011	0	10011	2	3	1	1	3	1380	975	110	0	9	250	5	138	98	0	55013	0	0	0	0	100	0	0	0	0	0	1	1	0	0	科技	0	20	5					
