装备类型	装备等级	强化消耗
number	number	number
type	lv	cost
		
2	1	360
2	2	540
2	3	720
2	4	900
2	5	1080
2	6	1260
2	7	1440
2	8	1620
2	9	1800
2	10	2340
2	11	2880
2	12	3420
2	13	3960
2	14	4500
2	15	5040
2	16	5580
2	17	6120
2	18	6660
2	19	7200
2	20	8100
2	21	9000
2	22	9900
2	23	10800
2	24	11700
2	25	12600
2	26	13500
2	27	14400
2	28	15300
2	29	16200
2	30	17460
2	31	18720
2	32	19980
2	33	21240
2	34	22500
2	35	23760
2	36	25020
2	37	26280
2	38	27540
2	39	28800
2	40	30420
2	41	32040
2	42	33660
2	43	35280
2	44	36900
2	45	38520
2	46	40140
2	47	41760
2	48	43380
2	49	45000
2	50	46980
2	51	48960
2	52	50940
2	53	52920
2	54	54900
2	55	56880
2	56	58860
2	57	60840
2	58	62820
2	59	64800
2	60	66780
2	61	68760
2	62	70740
2	63	72720
2	64	74700
2	65	76680
2	66	78660
2	67	80640
2	68	82620
2	69	84600
2	70	87120
2	71	89640
2	72	92160
2	73	94680
2	74	97200
2	75	99720
2	76	102240
2	77	104760
2	78	107280
2	79	109800
2	80	112500
2	81	115560
2	82	118620
2	83	121680
2	84	124740
2	85	127800
2	86	130860
2	87	133920
2	88	136980
2	89	140040
2	90	143640
2	91	147240
2	92	150840
2	93	154440
2	94	158040
2	95	161640
2	96	165240
2	97	168840
2	98	172440
2	99	176040
2	100	180360
2	101	184680
2	102	189000
2	103	193320
2	104	197640
2	105	201960
2	106	206280
2	107	210600
2	108	214920
2	109	219240
2	110	224640
2	111	230040
2	112	235440
2	113	240840
2	114	246240
2	115	251640
2	116	257040
2	117	262440
2	118	267840
2	119	273240
2	120	278640
3	1	180
3	2	270
3	3	360
3	4	450
3	5	540
3	6	630
3	7	720
3	8	810
3	9	900
3	10	1170
3	11	1440
3	12	1710
3	13	1980
3	14	2250
3	15	2520
3	16	2790
3	17	3060
3	18	3330
3	19	3600
3	20	4050
3	21	4500
3	22	4950
3	23	5400
3	24	5850
3	25	6300
3	26	6750
3	27	7200
3	28	7650
3	29	8100
3	30	8730
3	31	9360
3	32	9990
3	33	10620
3	34	11250
3	35	11880
3	36	12510
3	37	13140
3	38	13770
3	39	14400
3	40	15210
3	41	16020
3	42	16830
3	43	17640
3	44	18450
3	45	19260
3	46	20070
3	47	20880
3	48	21690
3	49	22500
3	50	23490
3	51	24480
3	52	25470
3	53	26460
3	54	27450
3	55	28440
3	56	29430
3	57	30420
3	58	31410
3	59	32400
3	60	33390
3	61	34380
3	62	35370
3	63	36360
3	64	37350
3	65	38340
3	66	39330
3	67	40320
3	68	41310
3	69	42300
3	70	43560
3	71	44820
3	72	46080
3	73	47340
3	74	48600
3	75	49860
3	76	51120
3	77	52380
3	78	53640
3	79	54900
3	80	56250
3	81	57780
3	82	59310
3	83	60840
3	84	62370
3	85	63900
3	86	65430
3	87	66960
3	88	68490
3	89	70020
3	90	71820
3	91	73620
3	92	75420
3	93	77220
3	94	79020
3	95	80820
3	96	82620
3	97	84420
3	98	86220
3	99	88020
3	100	90180
3	101	92340
3	102	94500
3	103	96660
3	104	98820
3	105	100980
3	106	103140
3	107	105300
3	108	107460
3	109	109620
3	110	112320
3	111	115020
3	112	117720
3	113	120420
3	114	123120
3	115	125820
3	116	128520
3	117	131220
3	118	133920
3	119	136620
3	120	139320
4	1	90
4	2	135
4	3	180
4	4	225
4	5	270
4	6	315
4	7	360
4	8	405
4	9	450
4	10	585
4	11	720
4	12	855
4	13	990
4	14	1125
4	15	1260
4	16	1395
4	17	1530
4	18	1665
4	19	1800
4	20	2025
4	21	2250
4	22	2475
4	23	2700
4	24	2925
4	25	3150
4	26	3375
4	27	3600
4	28	3825
4	29	4050
4	30	4365
4	31	4680
4	32	4995
4	33	5310
4	34	5625
4	35	5940
4	36	6255
4	37	6570
4	38	6885
4	39	7200
4	40	7605
4	41	8010
4	42	8415
4	43	8820
4	44	9225
4	45	9630
4	46	10035
4	47	10440
4	48	10845
4	49	11250
4	50	11745
4	51	12240
4	52	12735
4	53	13230
4	54	13725
4	55	14220
4	56	14715
4	57	15210
4	58	15705
4	59	16200
4	60	16695
4	61	17190
4	62	17685
4	63	18180
4	64	18675
4	65	19170
4	66	19665
4	67	20160
4	68	20655
4	69	21150
4	70	21780
4	71	22410
