ID	分类编号	名称	描述	星级	品质	道具类型	职业	使用等级	值1	出售价格	图标	点击结果
id	id2	name	desc	star	quality	type	job	lv	val1	sell	icon	点击结果
id	id2	string	string	number	number	number	number	number	string	number	string	number
2001	0	[魂]法正	"收集10个[魂]法正,可以招募出法正"	0	4	2	0	1	(500401)	0	meishu/wujiang/touxiang/fang/T_f_fazheng.png	3
2002	0	[魂]陈登	"收集10个[魂]陈登,可以招募出陈登"	0	4	2	0	1	(500402)	0	meishu/wujiang/touxiang/fang/T_f_fazheng.png	3
2003	0	[魂]阚泽	"收集10个[魂]阚泽,可以招募出阚泽"	0	4	2	0	1	(500403)	0	meishu/wujiang/touxiang/fang/T_f_fazheng.png	3
2004	0	[魂]蒯越	"收集10个[魂]蒯越,可以招募出蒯越"	0	4	2	0	1	(500404)	0	meishu/wujiang/touxiang/fang/T_f_fazheng.png	3
2005	0	[魂]锺繇	"收集10个[魂]锺繇,可以招募出锺繇"	0	4	2	0	1	(500405)	0	meishu/wujiang/touxiang/fang/T_f_fazheng.png	3
2006	0	[魂]陈群	"收集10个[魂]陈群,可以招募出陈群"	0	4	2	0	1	(500406)	0	meishu/wujiang/touxiang/fang/T_f_fazheng.png	3
2007	0	[魂]贾充	"收集10个[魂]贾充,可以招募出贾充"	0	4	2	0	1	(500407)	0	meishu/wujiang/touxiang/fang/T_f_fazheng.png	3
2008	0	[魂]司马师	"收集10个[魂]司马师,可以招募出司马师"	0	4	2	0	1	(500408)	0	meishu/wujiang/touxiang/fang/T_f_fazheng.png	3
2009	0	[魂]田丰	"收集10个[魂]田丰,可以招募出田丰"	0	4	2	0	1	(500409)	0	meishu/wujiang/touxiang/fang/T_f_xuyou.png	3
2010	0	[魂]夏侯玄	"收集10个[魂]夏侯玄,可以招募出夏侯玄"	0	4	2	0	1	(500410)	0	meishu/wujiang/touxiang/fang/T_f_xuyou.png	3
2011	0	[魂]诸葛恪	"收集10个[魂]诸葛恪,可以招募出诸葛恪"	0	4	2	0	1	(500411)	0	meishu/wujiang/touxiang/fang/T_f_xuyou.png	3
2012	0	[魂]许攸	"收集10个[魂]许攸,可以招募出许攸"	0	4	2	0	1	(500412)	0	meishu/wujiang/touxiang/fang/T_f_xuyou.png	3
2013	0	[魂]曹叡	"收集10个[魂]曹叡,可以招募出曹叡"	0	4	2	0	1	(500413)	0	meishu/wujiang/touxiang/fang/T_f_xuyou.png	3
2014	0	[魂]陈泰	"收集10个[魂]陈泰,可以招募出陈泰"	0	4	2	0	1	(500414)	0	meishu/wujiang/touxiang/fang/T_f_xuyou.png	3
2015	0	[魂]杜预	"收集10个[魂]杜预,可以招募出杜预"	0	4	2	0	1	(500415)	0	meishu/wujiang/touxiang/fang/T_f_xuyou.png	3
2016	0	[魂]李儒	"收集10个[魂]李儒,可以招募出李儒"	0	4	2	0	1	(500416)	0	meishu/wujiang/touxiang/fang/T_f_jiaxu.png	3
2017	0	[魂]华歆	"收集10个[魂]华歆,可以招募出华歆"	0	4	2	0	1	(500417)	0	meishu/wujiang/touxiang/fang/T_f_jiaxu.png	3
2018	0	[魂]诸葛瑾	"收集10个[魂]诸葛瑾,可以招募出诸葛瑾"	0	4	2	0	1	(500418)	0	meishu/wujiang/touxiang/fang/T_f_jiaxu.png	3
2019	0	[魂]邓芝	"收集10个[魂]邓芝,可以招募出邓芝"	0	4	2	0	1	(500419)	0	meishu/wujiang/touxiang/fang/T_f_jiaxu.png	3
2020	0	[魂]曹冲	"收集10个[魂]曹冲,可以招募出曹冲"	0	4	2	0	1	(500420)	0	meishu/wujiang/touxiang/fang/T_f_jiaxu.png	3
2021	0	[魂]满宠	"收集10个[魂]满宠,可以招募出满宠"	0	4	2	0	1	(500421)	0	meishu/wujiang/touxiang/fang/T_f_jiaxu.png	3
2022	0	[魂]羊祜	"收集10个[魂]羊祜,可以招募出羊祜"	0	4	2	0	1	(500422)	0	meishu/wujiang/touxiang/fang/T_f_jiaxu.png	3
