关卡ID	阵型列表
id	pvplist
number	string
10	"(5167,1)(10056,1)"
20	"(5167,1)(10056,1)"
30	"(5167,1)(10106,1)"
40	"(5157,10)(10021,10)(5207,10)(10126,10)(5211,10)(10057,10)"
50	"(5064,13)(10107,13)(5096,13)(10116,13)(5604,13)(10076,13)"
60	"(5067,16)(10107,16)(5113,16)(10021,16)(5114,16)(10012,16)"
70	"(5099,10)(10107,10)(5175,10)(10107,10)(5570,10)(10021,10)"
80	"(5100,22)(10118,22)(5101,22)(10002,22)(5102,22)(10031,22)"
90	"(5069,25)(10086,25)(5103,25)(10107,25)(5116,25)(10002,25)"
100	"(5005,25)(10031,25)(5038,25)(10031,25)(5070,25)(10087,25)"
