编号ID 	物品	最少	最多
number	number	number	number
id	p1	s1	l1
			
50001	0	0	0
0	2	10000	10000
0	20015	1	1
0	20018	1	1
0	20002	1	1
0	20019	1	1
50002	0	0	0
0	2	20000	20000
0	30007	2	2
0	30001	1	1
0	20003	1	1
0	30006	1	1
50003	0	0	0
0	2	30000	30000
0	30007	4	4
0	30001	1	1
0	20004	1	1
0	30006	1	1
50004	0	0	0
0	2	40000	40000
0	30007	8	8
0	30001	2	2
0	20005	1	1
0	30006	2	2
50005	0	0	0
0	2	50000	50000
0	30007	10	10
0	30002	3	3
0	20006	1	1
0	30004	1	1
50006	0	0	0
0	2	80000	80000
0	30007	14	14
0	30002	6	6
0	20007	1	1
0	30004	2	2
50007	0	0	0
0	2	120000	120000
0	30007	20	20
0	30002	8	8
0	20008	1	1
0	30004	4	4
50008	0	0	0
0	2	150000	150000
0	30007	25	25
0	30002	15	15
0	20009	1	1
0	30004	5	5
50009	0	0	0
0	2	200000	200000
0	30007	30	30
0	30002	20	20
0	20010	1	1
0	30004	10	10
50010	0	0	0
0	2	250000	250000
0	30007	35	35
0	30002	25	25
0	20011	1	1
0	30004	15	15
50011	0	0	0
0	2	300000	300000
0	30007	40	40
0	30002	30	30
0	20012	1	1
0	30004	20	20
50012	0	0	0
0	2	500000	500000
0	30007	45	45
0	30002	35	35
0	20013	1	1
0	30004	25	25
50013	0	0	0
0	2	800000	800000
0	30007	50	50
0	30002	40	40
0	20014	1	1
0	30004	30	30
50014	0	0	0
0	2	1000000	1000000
0	30007	50	50
0	30002	40	40
0	30004	30	30
50015	0	0	0
0	30007	5	5
0	30019	5	5
50016	0	0	0
0	15001	2	2
0	30003	1	1
0	25004	1	1
0	30007	5	5
50017	0	0	0
0	25004	1	1
0	25040	1	1
0	25013	1	1
0	25022	1	1
0	25031	1	1
50018	0	0	0
0	30001	5	5
0	30002	5	5
0	30003	1	1
0	30008	3	3
50019	0	0	0
0	30006	10	10
0	30004	5	5
50020	0	0	0
0	30002	3	3
0	30004	3	3
0	30006	3	3
0	30001	3	3
50021	0	0	0
0	30009	10	10
0	25048	1	1
0	15001	1	1
0	15002	1	1
0	15001	10	10
50022	0	0	0
0	25004	1	1
