城市id	坐标y	坐标x	归属	名称	类型	地形	素材	相邻	归属值	类型值	地形值	铜钱值
number	number	number	string	string	string	string	string	string	number	number	number	number
id	row	col	belong	name	type	dixing	img	xiangling	mbelong	mtype	mdixing	tongqian
												
600099	60	99	黄巾	襄阳	野外	城池	UI_gzdt_cheng6	"[580110,560089,670102]"	5	4	1	100
580110	58	110	黄巾	江夏	野外	城池	UI_gzdt_cheng6	"[600099,630121,520105]"	5	4	1	100
560089	56	89	黄巾	江陵	野外	城池	UI_gzdt_cheng6	"[600099,650083,490093]"	5	4	1	100
650083	65	83	黄巾	樊城	野外	城池	UI_gzdt_cheng6	"[560089,700093,560081]"	5	4	1	100
700093	70	93	黄巾	许昌	野外	城池	UI_gzdt_cheng6	"[650083,670102,720105]"	5	4	1	100
560081	56	81	黄巾	麦城	野外	城池	UI_gzdt_cheng6	"[650083,500078]"	5	4	1	100
490093	49	93	黄巾	宜城	野外	城池	UI_gzdt_cheng6	"[560089,500085,520105]"	5	4	1	100
630121	63	121	黄巾	汉阳	野外	城池	UI_gzdt_cheng6	"[580110,580123,670114]"	5	4	1	100
720119	72	119	黄巾	新野	野外	城池	UI_gzdt_cheng6	"[760111,670114]"	5	4	1	100
670102	67	102	黄巾	宛城	野外	城池	UI_gzdt_cheng6	"[600099,700093,670114]"	5	4	1	100
520116	52	116	黄巾	三江口	野外	城池	UI_gzdt_cheng6	"[520105,520124]"	5	4	1	100
500085	50	85	黄巾	长坂坡	野外	城池	UI_gzdt_cheng6	"[490093,500078]"	5	4	1	100
580123	58	123	黄巾	华容	野外	城池	UI_gzdt_cheng6	"[630121,520124]"	5	4	1	100
520105	52	105	黄巾	柴桑	野外	城池	UI_gzdt_cheng6	"[580110,490093,520116]"	5	4	1	100
1140019	114	19	蜀国	西凉北	野外	城池	UI_gzdt_cheng4	"[1090012,1090028,1060019]"	1	4	1	100
1090012	109	12	蜀国	西凉西	野外	城池	UI_gzdt_cheng4	"[1140019,1060019,1000016]"	1	4	1	100
1090028	109	28	蜀国	西凉东	野外	城池	UI_gzdt_cheng4	"[1140019,1060019]"	1	4	1	100
1060019	106	19	蜀国	西凉	城市	城池	UI_gzdt_cheng2	"[1140019,1090012,1090028,1010024]"	1	2	1	100
1000016	100	16	蜀国	天水北	野外	城池	UI_gzdt_cheng4	"[1090012,1010024,920018,900012]"	1	4	1	100
1010024	101	24	蜀国	西凉南	野外	城池	UI_gzdt_cheng4	"[1060019,1000016,950025]"	1	4	1	101
950025	95	25	蜀国	天水东	野外	城池	UI_gzdt_cheng4	"[1010024,860024]"	1	4	1	102
920018	92	18	蜀国	天水	城市	城池	UI_gzdt_cheng2	"[1000016,900012,860024]"	1	2	1	103
900012	90	12	蜀国	天水西	野外	城池	UI_gzdt_cheng4	"[1000016,920018,800019]"	1	4	1	104
860024	86	24	蜀国	天水南	野外	城池	UI_gzdt_cheng4	"[950025,920018,800019,700027]"	1	4	1	105
1150038	115	38	黄巾	武威外山	野外	城池	UI_gzdt_cheng4	"[1090045,1050038]"	5	4	1	106
1090045	109	45	黄巾	武威东	野外	城池	UI_gzdt_cheng4	"[1150038,1050038,1070054]"	5	4	1	107
1050038	105	38	黄巾	武威	城市	城池	UI_gzdt_cheng2	"[1150038,1090045,1010049,950039]"	5	2	1	108
1010049	101	49	黄巾	长安	城市	城池	UI_gzdt_cheng2	"[1050038,1000058,940050,900061]"	5	2	1	109
1000058	100	58	黄巾	长安东	野外	城池	UI_gzdt_cheng4	"[1010049,1070054,1070063]"	5	4	1	110
1140056	114	56	黄巾	咸阳北	野外	城池	UI_gzdt_cheng4	"[1070054,1070063]"	5	4	1	111
1070054	107	54	黄巾	街亭	野外	城池	UI_gzdt_cheng4	"[1090045,1000058,1140056]"	5	4	1	112
950039	95	39	黄巾	五丈原	野外	城池	UI_gzdt_cheng4	"[1050038,830038]"	5	4	1	113
940050	94	50	黄巾	汉中北	野外	城池	UI_gzdt_cheng4	"[1010049,880047,880055]"	5	4	1	114
880047	88	47	黄巾	汉中	城市	城池	UI_gzdt_cheng2	"[940050,880055,830051,830038]"	5	2	1	115
880055	88	55	黄巾	剑阁	野外	城池	UI_gzdt_cheng4	"[940050,880047,830051,900061]"	5	4	1	116
830051	83	51	黄巾	汉中南	野外	城池	UI_gzdt_cheng4	"[880047,880055]"	5	4	1	117
830038	83	38	蜀国	潼关	关口	城池	UI_gzdt_cheng3	"[950039,880047,780042,700027]"	1	3	1	118
800019	80	19	蜀国	陇西北	野外	城池	UI_gzdt_cheng4	"[900012,860024,730018,700027,660018]"	1	4	1	119
780042	78	42	蜀国	石城北	野外	城池	UI_gzdt_cheng4	"[830038,720049,690043]"	1	4	1	120
730018	73	18	蜀国	陇西	城市	城池	UI_gzdt_cheng2	"[800019,700027,660018]"	1	2	1	121
700027	70	27	蜀国	陇西东	野外	城池	UI_gzdt_cheng4	"[860024,830038,800019,730018]"	1	4	1	122
660018	66	18	蜀国	陇西南	野外	城池	UI_gzdt_cheng4	"[800019,730018,640027,590019]"	1	4	1	123
720049	72	49	蜀国	石城	城市	城池	UI_gzdt_cheng2	"[780042,690043,680054]"	1	2	1	124
690043	69	43	蜀国	石城西	野外	城池	UI_gzdt_cheng4	"[780042,720049,680054,600043]"	1	4	1	125
680054	68	54	蜀国	石城南	野外	城池	UI_gzdt_cheng4	"[720049,690043,620062]"	1	4	1	126
680035	68	35	蜀国	永安北	野外	城池	UI_gzdt_cheng4	"[620034,600043]"	1	4	1	127
640027	64	27	蜀国	永安西	野外	城池	UI_gzdt_cheng6	"[660018,620034,570030]"	1	4	1	128
620034	62	34	蜀国	永安	城市	城池	UI_gzdt_cheng2	"[680035,640027,600043,570030]"	1	2	1	129
600043	60	43	蜀国	永安东	野外	城池	UI_gzdt_cheng6	"[690043,680035,620034]"	1	4	1	130
570030	57	30	蜀国	永安南	野外	城池	UI_gzdt_cheng6	"[640027,620034,510024,520037]"	1	4	1	131
590019	59	19	蜀国	成都北	野外	城池	UI_gzdt_cheng4	"[660018,560012,530017,510024]"	1	4	1	132
560012	56	12	蜀国	成都西	野外	城池	UI_gzdt_cheng4	"[590019,530017]"	1	4	1	133
530017	53	17	蜀国	成都	都城	城池	UI_gzdt_cheng1	"[590019,560012,500009,510024,450014]"	1	1	1	134
500009	50	9	蜀国	屯田区	屯田	城池	UI_gzdt_cheng7	[530017]	1	5	1	135
510024	51	24	蜀国	梓潼	城市	城池	UI_gzdt_cheng2	"[570030,590019,530017,520037,450014]"	1	2	1	136
