关卡排序,编号ID,序号,等级段,名称,大关类,类型,对话,描述,体力,城堡血量,过关奖励ID,未过关奖励ID,解锁兵种,背景,出兵序列,章节图,pvp,对白回合1,对白回合2,对白回合1ID,对白回合2ID
number,number,number,number,string,number,string,number,string,number,number,number,number,number,number,string,number,number,round1,round2,id1,id2
index,id,id2,id3,name,type,type2,dialog,desc,tili,hp,rewardid,rewardid2,unlock,img,bingList,zhangjie,pvpid,dialogueround1,dialogueround2,dialogueid1,dialogueid2
,,,,,,,,,,,,,,,,,,,,,
1,1001,1,1,泰山-1,1,1,0,泰山 黄巾之乱第1关,1,10000,52001,52601,0,1,"(10001,1,5)(10001,1,7)(10001,1,6)(10001,1,5)(10001,1,7)(10001,1,5)(10001,1,7)(10001,1,6)(10001,1,5)(10001,1,7)(10001,1,5)(10001,1,7)(10001,1,6)(10001,1,5)(10001,1,7)(10001,1,5)(10001,1,7)(10001,1,6)(10001,1,5)(10001,1,7)",1,0,1,2,1,2
2,1002,2,1,泰山-2,1,1,0,泰山 黄巾之乱第1关,1,10000,52002,52602,0,1,"(10056,1,5)(10056,1,7)(10056,1,6)(10056,1,5)(10056,1,7)(10056,1,5)(10056,1,7)(10056,1,6)(10106,1,5)(10106,1,7)(10106,1,5)(10106,1,7)(10106,1,6)(10001,1,5)(10001,1,7)(10001,1,5)(10001,1,7)(10001,1,6)(10001,1,5)(10001,1,7)",1,0,0,0,0,0
3,1003,3,1,泰山-3,1,2,0,泰山 黄巾之乱第1关,1,10000,52003,52603,0,1,"(10106,2,5)(10106,1,7)(10106,1,6)(10106,1,5)(10106,1,7)(10106,1,5)(10106,1,7)(10106,1,6)(10106,1,5)(10106,1,7)(10001,1,5)(10001,1,7)(10001,1,6)(10001,1,5)(10001,1,7)(10001,1,5)(10001,1,7)(10001,1,6)(10001,1,5)(10001,1,7)",1,0,0,0,0,0
4,1004,4,2,泰山-4,1,1,0,泰山 黄巾之乱第1关,1,10000,52004,52604,0,1,"(10056,2,11)(10056,1,11)(10056,1,11)(10056,1,11)(10056,1,5)(10056,1,4)(10056,1,5)(10056,1,6)(10056,1,5)(10056,1,4)(10106,1,5)(10106,1,6)(10106,1,5)(10106,1,4)(10106,1,5)(10106,1,6)(10106,1,5)(10106,1,4)(10106,1,5)(10106,1,6)",1,0,0,0,0,0
5,1005,5,2,泰山-5,1,1,0,泰山 黄巾之乱第1关,1,10000,52005,52605,0,1,"(10056,3,11)(10056,1,11)(10056,1,11)(10056,1,11)[(5547,2,1),(10056,1,5)](10001,1,4)(10056,1,5)(10056,1,6)(10001,1,5)(10056,1,4)(10056,1,5)(10056,1,6)(10001,1,5)(10056,1,4)(10056,1,5)(10001,1,6)(10056,1,5)(10001,1,4)(10001,1,5)(10056,1,6)",1,0,0,0,0,0
6,1006,6,2,泰山-6,1,2,0,泰山 黄巾之乱第1关,1,10000,52006,52606,0,1,"(10001,3,4)(10001,1,6)(10001,1,2)(10106,1,5)(10106,1,5)(10106,1,4)(10001,1,6)(10106,1,11)(10001,1,11)(10106,1,11)(10001,3,11)(10001,1,11)(10001,1,2)(10106,1,5)(10106,1,6)(10106,1,4)(10001,1,6)(10106,1,2)(10001,1,5)(10106,1,5)",1,0,0,0,0,0
7,1007,7,3,泰山-7,1,1,0,泰山 黄巾之乱第1关,1,10000,52007,52607,0,1,"(10056,4,4)(10056,1,6)(10106,1,2)(10106,1,5)(10056,1,5)(10106,1,4)(10106,1,6)(10056,1,11)(10106,1,11)(10056,1,11)(10056,4,11)(10056,1,11)(10106,1,2)(10106,1,5)(10056,1,6)(10106,1,4)(10106,1,6)(10056,1,2)(10106,1,5)(10056,1,5)",1,0,0,0,0,0
