编号ID ,最小,最大,物品,几率,最少,最多
number,number,number,number,number,number,number
id,min,max,p1,c1,s1,l1
,,,,,,
50001,0,0,0,0,0,0
0,0,0,2,10000,10000,10000
0,0,0,20015,10000,1,1
0,0,0,20018,10000,1,1
0,0,0,20002,10000,1,1
0,0,0,20019,10000,1,1
50002,0,0,0,0,0,0
0,0,0,2,10000,20000,20000
0,0,0,30007,10000,2,2
0,0,0,30001,10000,1,1
0,0,0,20003,10000,1,1
0,0,0,30006,10000,1,1
50003,0,0,0,0,0,0
0,0,0,2,10000,30000,30000
0,0,0,30007,10000,4,4
0,0,0,30001,10000,1,1
0,0,0,20004,10000,1,1
0,0,0,30006,10000,1,1
50004,0,0,0,0,0,0
0,0,0,2,10000,40000,40000
0,0,0,30007,10000,8,8
0,0,0,30001,10000,2,2
0,0,0,20005,10000,1,1
0,0,0,30006,10000,2,2
50005,0,0,0,0,0,0
0,0,0,2,10000,50000,50000
0,0,0,30007,10000,10,10
0,0,0,30002,10000,3,3
0,0,0,20006,10000,1,1
0,0,0,30004,10000,1,1
50006,0,0,0,0,0,0
0,0,0,2,10000,80000,80000
0,0,0,30007,10000,14,14
0,0,0,30002,10000,6,6
0,0,0,20007,10000,1,1
0,0,0,30004,10000,2,2
50007,0,0,0,0,0,0
0,0,0,2,10000,120000,120000
0,0,0,30007,10000,20,20
0,0,0,30002,10000,8,8
0,0,0,20008,10000,1,1
0,0,0,30004,10000,4,4
50008,0,0,0,0,0,0
0,0,0,2,10000,150000,150000
0,0,0,30007,10000,25,25
0,0,0,30002,10000,15,15
0,0,0,20009,10000,1,1
0,0,0,30004,10000,5,5
50009,0,0,0,0,0,0
0,0,0,2,10000,200000,200000
0,0,0,30007,10000,30,30
0,0,0,30002,10000,20,20
0,0,0,20010,10000,1,1
0,0,0,30004,10000,10,10
50010,0,0,0,0,0,0
0,0,0,2,10000,250000,250000
0,0,0,30007,10000,35,35
0,0,0,30002,10000,25,25
0,0,0,20011,10000,1,1
0,0,0,30004,10000,15,15
50011,0,0,0,0,0,0
0,0,0,2,10000,300000,300000
0,0,0,30007,10000,40,40
0,0,0,30002,10000,30,30
0,0,0,20012,10000,1,1
0,0,0,30004,10000,20,20
50012,0,0,0,0,0,0
0,0,0,2,10000,500000,500000
0,0,0,30007,10000,45,45
0,0,0,30002,10000,35,35
0,0,0,20013,10000,1,1
0,0,0,30004,10000,25,25
50013,0,0,0,0,0,0
0,0,0,2,10000,800000,800000
0,0,0,30007,10000,50,50
0,0,0,30002,10000,40,40
0,0,0,20014,10000,1,1
0,0,0,30004,10000,30,30
50014,0,0,0,0,0,0
0,0,0,2,10000,1000000,1000000
0,0,0,30007,10000,50,50
0,0,0,30002,10000,40,40
0,0,0,30004,10000,30,30
50015,0,0,0,0,0,0
0,0,0,30007,10000,5,5
0,0,0,30019,10000,5,5
50016,0,0,0,0,0,0
0,0,0,15001,10000,2,2
0,0,0,30003,10000,1,1
0,0,0,25004,10000,1,1
0,0,0,30007,10000,5,5
50017,0,0,0,0,0,0
0,0,0,25004,10000,1,1
0,0,0,25040,10000,1,1
0,0,0,25013,10000,1,1
0,0,0,25022,10000,1,1
0,0,0,25031,10000,1,1
50018,0,0,0,0,0,0
0,0,0,30001,10000,5,5
0,0,0,30002,10000,5,5
0,0,0,30003,10000,1,1
0,0,0,30008,10000,3,3
50019,0,0,0,0,0,0
0,0,0,30006,10000,10,10
0,0,0,30004,10000,5,5
50020,1,1,0,0,0,0
0,0,0,30002,2500,3,3
0,0,0,30004,2500,3,3
0,0,0,30006,2500,3,3
0,0,0,30001,2500,3,3
50021,1,1,0,0,0,0
0,0,0,30009,7400,10,10
0,0,0,25048,200,1,1
0,0,0,15001,2000,1,1
0,0,0,15002,300,1,1
0,0,0,15001,100,10,10
50022,1,1,0,0,0,0
0,0,0,25004,2000,1,1
0,0,0,25040,2000,1,1
0,0,0,25013,2000,1,1
0,0,0,25022,2000,1,1
0,0,0,25031,2000,1,1
50023,1,1,0,0,0,0
0,0,0,30019,4800,1,1
0,0,0,30009,1000,1,1
0,0,0,30004,300,1,1
0,0,0,30003,300,1,1
0,0,0,30037,100,1,1
0,0,0,30007,3000,1,1
0,0,0,30010,500,1,1
50024,1,1,0,0,0,0
0,0,0,30003,2500,1,1
0,0,0,30005,2500,1,1
0,0,0,30010,2500,1,1
0,0,0,20022,2500,1,1
50025,0,0,0,0,0,0
0,0,0,30012,10000,1,1
0,0,0,30034,10000,2,2
50026,1,1,0,0,0,0
0,0,0,30009,2670,5,5
0,0,0,30011,3890,1,1
0,0,0,15001,110,1,1
0,0,0,20022,1110,1,1
0,0,0,30033,2220,3,3
50027,1,1,0,0,0,0
0,0,0,30019,2000,1,1
0,0,0,30009,500,1,1
0,0,0,30004,400,1,1
0,0,0,30003,100,1,1
0,0,0,30001,2000,1,1
0,0,0,30002,2000,1,1
0,0,0,30006,2000,1,1
0,0,0,30033,1000,3,3
50028,1,1,0,0,0,0
0,0,0,30011,1760,1,1
0,0,0,20044,1750,1,1
0,0,0,30009,1300,1,1
0,0,0,30029,1690,3,3
0,0,0,20045,1750,1,1
0,0,0,20046,1750,1,1
50029,0,0,0,0,0,0
0,0,0,30002,10000,1,1
0,0,0,30007,10000,6,6
0,0,0,30004,10000,1,1
50030,0,0,0,0,0,0
0,0,0,30002,10000,2,2
0,0,0,30007,10000,10,20
0,0,0,30009,10000,10,15
0,0,0,30004,10000,2,2
50031,0,0,0,0,0,0
0,0,0,30003,10000,1,1
0,0,0,30007,10000,20,20
0,0,0,30009,10000,6,6
0,0,0,30005,10000,1,1
50032,0,0,0,0,0,0
0,0,0,30003,10000,2,2
0,0,0,30007,10000,40,40
0,0,0,30009,10000,30,30
0,0,0,30005,10000,1,1
50033,0,0,0,0,0,0
0,0,0,30003,10000,5,5
0,0,0,30007,10000,60,60
0,0,0,30009,10000,105,105
0,0,0,30005,10000,5,5
50034,0,0,0,0,0,0
0,0,0,30003,10000,30,30
0,0,0,30007,10000,80,80
50035,0,0,0,0,0,0
0,0,0,30005,10000,40,40
0,0,0,30007,10000,200,200
50036,0,0,0,0,0,0
0,0,0,30003,10000,50,50
0,0,0,30007,10000,200,200
0,0,0,30009,10000,350,350
50037,0,0,0,0,0,0
0,0,0,30003,10000,35,35
0,0,0,30007,10000,300,300
0,0,0,30009,10000,700,700
0,0,0,30005,10000,15,15
50038,0,0,0,0,0,0
0,0,0,30003,10000,50,50
0,0,0,30007,10000,500,500
0,0,0,30009,10000,1200,1200
0,0,0,30005,10000,20,20
50039,0,0,0,0,0,0
0,0,0,30007,10000,5000,5000
0,0,0,30009,10000,300,300
0,0,0,30005,10000,35,35
0,0,0,30003,10000,35,35
50040,0,0,0,0,0,0
0,0,0,30028,10000,60,60
0,0,0,30007,10000,2500,2500
0,0,0,30005,10000,100,100
0,0,0,30003,10000,100,100
50041,0,0,0,0,0,0
0,0,0,30028,10000,60,60
0,0,0,30007,10000,2500,2500
